window_index,log_likelihood
0,-25.118626973330958
1,-17.934863617664906
2,-27.65998838613279
3,-21.30978082361282
4,-25.4969927000963
5,-22.27978450630282
6,-20.417817108940596
7,-26.06647091065979
8,-20.192227195893008
9,-18.481089414271977
10,-22.42585543936576
11,-22.246172917770533
12,-20.417817108940596
13,-20.417817108940596
14,-20.276535857550464
15,-21.152967806481495
16,-22.986805865813746
17,-24.300342015299922
18,-14.38501029301188
19,-17.11334381604631
20,-24.52317132599856
21,-15.449221818437207
22,-35.432634982564124
23,-23.02890338711961
24,-11.991190158317734
25,-28.483410721882795
26,-15.13125260155302
27,-15.13125260155302
28,-15.13125260155302
29,-15.13125260155302
30,-15.13125260155302
31,-21.20750182084849
32,-31.8813863418637
33,-23.6803573178369
34,-24.34136617922475
35,-21.30978082361282
36,-19.414369462207553
37,-19.387044555439672
38,-21.49641218321678
39,-20.095120276589903
40,-21.479432874348316
41,-20.90338281265783
42,-19.98407542870092
43,-18.285117929303794
44,-20.8312277792672
45,-18.999376239205194
46,-19.98407542870092
47,-19.881465519139912
48,-19.639164317833053
49,-18.999376239205194
50,-19.12218569601678
51,-18.999376239205194
52,-21.241667352797446
53,-21.241619449570837
54,-18.999376239205194
55,-16.05493120869858
56,-26.30366858786528
57,-22.399210502189767
58,-27.79401672385531
59,-21.3105339878993
60,-16.050959485909377
61,-26.589746141019198
62,-27.524315905566443
63,-14.912766903096369
64,-24.603757030496528
65,-18.29661966484215
66,-27.332852180115534
67,-26.716260799417103
68,-26.29520736447104
69,-17.676691157899402
70,-21.3105339878993
71,-34.20284005097476
72,-29.1057468649842
73,-24.58189888263417
74,-20.192227195893008
75,-21.287038358134797
76,-9.9791086103912
77,-21.76015966058314
78,-17.942598701597188
79,-19.285039880343827
80,-21.786281822226364
81,-17.934863617664906
82,-25.19729766986207
83,-23.427172306536768
84,-23.805483413167632
85,-28.54612344047995
86,-19.71831823317186
87,-19.71831823317186
88,-19.71831823317186
89,-19.71831823317186
90,-19.71831823317186
91,-19.71831823317186
92,-19.71831823317186
93,-19.71831823317186
94,-22.281343220356646
95,-31.186077377516344
96,-21.30978082361282
97,-17.826470176949964
98,-9.9791086103912
99,-24.167460787653106
100,-13.467512169336157
101,-20.186473754760907
102,-24.983003619554015
103,-32.24911852984009
104,-20.551128047822434
105,-27.57518426573166
106,-20.11279098792081
107,-27.241400664127205
108,-22.309318366212683
109,-30.849226871023244
110,-15.58540775790482
111,-19.652062283651933
112,-21.90953620704379
113,-18.21816889890589
114,-19.45745168027113
115,-15.895200403843132
116,-16.185419170641524
117,-43.14590111622816
118,-30.186178531962423
119,-31.807685646923034
120,-16.35882116046473
121,-27.79930516233914
122,-29.548463769294955
123,-25.29900071261989
124,-16.360304338094778
125,-15.686953750792854
126,-24.812684817920402
127,-32.526970506313155
128,-27.82256025624739
129,-25.359803920822294
130,-25.851074664093602
131,-27.65998838613279
132,-23.235279111435425
133,-27.00540465210066
134,-33.48608906911962
135,-20.248381178712915
136,-19.86296150605514
137,-21.215733351537324
138,-30.008888748320665
139,-22.566884559297716
140,-16.343843551545447
141,-27.013185854134733
142,-26.435265940647675
143,-21.826854548901654
144,-25.76417903954906
145,-21.897506791982128
146,-27.01171833081519
147,-21.30978082361282
148,-20.749084200817048
149,-37.96881139762385
150,-21.3105339878993
151,-14.65760270669787
152,-15.966605913105344
153,-28.319772873766297
154,-14.552208947046635
155,-17.268632957698216
156,-23.485418305867242
157,-12.483197004966762
158,-11.990256974829888
159,-12.483500859275768
160,-11.497454451748917
161,-22.571849289340435
162,-21.194378899943732
163,-20.231934002948098
164,-32.422078934860934
165,-38.16916388665031
166,-34.81899466425849
167,-39.4480409254792
168,-37.356726814384004
169,-39.4480409254792
170,-34.9728004621447
171,-40.9978754613951
172,-33.174628588168616
173,-39.4480409254792
174,-39.4480409254792
175,-34.09260259942042
176,-40.9978754613951
177,-31.578404776976154
178,-38.00098740895482
179,-33.28261918322281
180,-33.65987232742429
181,-33.174628588168616
182,-24.402555100635237
183,-31.342805326747488
184,-9.9791086103912
185,-21.431855176877693
186,-22.544944005424295
187,-19.992780378893777
188,-9.9791086103912
189,-20.49010851231324
190,-39.52834839566192
191,-28.911820000584452
192,-15.652351653022192
193,-15.099284032376373
194,-15.649451165233032
195,-25.718014472359513
196,-18.09868083941695
197,-17.296255455662394
198,-15.409567986856159
199,-18.41131006573199
200,-25.083987889389373
201,-17.934863617664906
202,-18.68902103159128
203,-19.439835913835978
204,-14.45027674588849
205,-13.495856175300739
206,-22.932776006790533
207,-18.010629429661428
208,-21.174288985357496
209,-15.966605913105344
210,-17.676691157899402
211,-17.934863617664906
212,-19.957890028525952
213,-16.663667030871597
214,-16.545995218481718
215,-18.67927365568316
216,-18.591017407412096
217,-10.563250968823937
218,-10.563250968823937
219,-10.563250968823937
220,-20.186473754760907
221,-22.00323457061242
